Order ID;Order Date;Day of Week;Ship Mode;Customer ID;Customer Name;Origin Channel;Country/Region;City;State;Postal Code;Region;Category;Sub-Category;Product ID;Sales;Quantity;Discount;Profit
CA-2019-121755;16/1/2019;Wednesday;Second Class;EH-13945;Eric Hoffmann;Email;United States;Los Angeles;California;90049;West;Special Projects Muesil;Gluten Free;TEC-AC-10003027;90.57;3;0;11.7741
CA-2019-118255;11/3/2019;Monday;First Class;ON-18715;Odella Nelson;Sales;United States;Eagan;Minnesota;55122;Central;Special Projects Muesil;Gluten Free;TEC-AC-10000171;45.98;2;0;19.7714
CA-2019-169194;20/6/2019;Thursday;Standard Class;LH-16900;Lena Hernandez;Email;United States;Dover;Delaware;19901;East;Special Projects Muesil;Gluten Free;TEC-AC-10002167;45;3;0;4.95
CA-2019-111682;17/6/2019;Monday;First Class;TB-21055;Ted Butterfield;Email;United States;Troy;New York;12180;East;Special Projects Muesil;Gluten Free;TEC-AC-10002167;30;2;0;3.3
CA-2018-135545;24/11/2018;Saturday;Standard Class;KM-16720;Kunst Miller;Email;United States;Los Angeles;California;90004;West;Special Projects Muesil;Gluten Free;TEC-AC-10004633;13.98;2;0;6.1512
CA-2020-155558;26/10/2020;Monday;Standard Class;PG-18895;Paul Gonzalez;Email;United States;Rochester;Minnesota;55901;Central;Special Projects Muesil;Gluten Free;TEC-AC-10001998;19.99;1;0;6.7966
CA-2019-158568;29/8/2019;Thursday;Standard Class;RB-19465;Rick Bensley;Facebook;United States;Chicago;Illinois;60610;Central;Special Projects Muesil;Gluten Free;TEC-AC-10001767;95.976;3;0.2;-10.7973
US-2018-156867;13/11/2018;Tuesday;Standard Class;LC-16870;Lena Cacioppo;Email;United States;Aurora;Colorado;80013;West;Special Projects Muesil;Gluten Free;TEC-AC-10001552;238.896;6;0.2;-26.8758
CA-2020-119004;23/11/2020;Monday;Standard Class;JM-15250;Janet Martin;Email;United States;Charlotte;North Carolina;28205;South;Special Projects Muesil;Gluten Free;TEC-AC-10003499;74.112;8;0.2;17.6016
CA-2018-129476;15/10/2018;Monday;Standard Class;PA-19060;Pete Armstrong;Facebook;United States;Orland Park;Illinois;60462;Central;Special Projects Muesil;Gluten Free;TEC-AC-10000844;339.96;5;0.2;67.992
CA-2018-119697;28/12/2018;Friday;Second Class;EM-13960;Eric Murdock;Email;United States;Philadelphia;Pennsylvania;19134;East;Special Projects Muesil;Gluten Free;TEC-AC-10003657;54.384;2;0.2;1.3596
CA-2017-166191;5/12/2017;Tuesday;Second Class;DK-13150;David Kendrick;Sales;United States;Decatur;Illinois;62521;Central;Special Projects Muesil;Gluten Free;TEC-AC-10004659;408.744;7;0.2;76.6395
CA-2017-158274;19/11/2017;Sunday;Second Class;RM-19675;Robert Marley;Facebook;United States;Monroe;Louisiana;71203;South;Special Projects Muesil;Gluten Free;TEC-AC-10002345;29;2;0;7.25
CA-2017-123260;26/8/2017;Saturday;Standard Class;FM-14290;Frank Merwin;Facebook;United States;Los Angeles;California;90032;West;Special Projects Muesil;Gluten Free;TEC-AC-10002323;176.8;8;0;22.984
